Colombia ;Artificial Intelligence (Ai);Business Innovation Policy Strategies;Cluster Policies;Collaborative Research And Innovation;Digital Transformation Of Firms;Ethics Of Emerging Technologies;Financial Support To Business R&D And Innovation;Horizontal Policy Coordination;Intersectoral Mobility;Multi-Stakeholder Engagement;National Sti Plan Or Strategy;Non-Financial Support To Business R&D And Innovation;Open Science And Enhanced Access To Publications And Research Data;Research And Innovation For Developing Countries;Research And Innovation For Society Strategy;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;Strategic Policy Intelligence;Targeted Support To Smes;Transfer And Sharing Strategies
Colombian Obeservatory Of Science And Technology;;;;;;;;;;;;;;;;;;;;
Scientific Ecosystem;;;;Collaborative Research And Innovation;;;;;;;National Sti Plan Or Strategy;;;;;;;;;
Anh Technology Transfer Program;;;;;;;;;;;;;;;;;;;;
Measurement Model Of Research Groups And Researchers Of The National System Of Sti;;;;;;;;;;;National Sti Plan Or Strategy;;;;;;;Strategic Policy Intelligence;;
Calls To Promote Alliances Between Universities, Research Centers And Enterprises;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;
Cluster Network Colombia;;;Cluster Policies;;;;;;;;;;;;;;;;;
Survey Of Technological Development And Innovation;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Sti Projects For National Challenges;;;;;;;;;;;;;;;;;;;;
Icetex Posgraduate Loans;;;;;;;;;;;;;;;;;;;;
Passport To Science (Scientific Colombia);;;;;;;;;;;;;;;;;;;;
Big Data Policy (Data Governance Framework);Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
National Program For Enviroment, Biodiversity And Habitat;;;;;;;;;;;National Sti Plan Or Strategy;;;;;;;;;
Linking Knowledge;;;;Collaborative Research And Innovation;;;;;;;National Sti Plan Or Strategy;;;;;;;;;
Young Researchers And Innovators Programme;;;;;;;;;;;;;;;;;;;;
Local Government Innovation Index For Colombia;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Technical Committee Of Science, Technology And Innovation;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
Articulation For Competitiveness Methodology;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Colombian Innovation Platform;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Prototypes Of Products Based On Biodiversity;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Institutional Offer Projects-Colombia Bio;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;
High Level Education For Human Capital Policy;;;;;;;;;;;;;;;;;;;;
Policy Of Research Ethics, Bioethics And Scientific Integrity;;;;;;;;;;;;;;;;;;;;
Actor Policy For The National Sti System;;;;;;;;;;;National Sti Plan Or Strategy;;;;;;;;;
Funding Activitities Of The Sgr Science, Technology And Innovation Fund;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Doctoral Excellency Scholarships;;;;;;;;;;;;;;;;;;;;
Call For Projects For The Social Appropriation Of Sti And Vocations For The Consolidation Of A Knowledge Society;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;
Call For Projects For High-Level Education For The Regions;;;;;;;;;;;;;;;;;;;;
Call For Projects For The Productivity, Competitive And Social Regional Development;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Call For Projects For The Strengthening Of The Sti System;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Policy To Improve The Impact Of National Scientific Publications;;;;;;;;;;;;;;;;;;;;
Strategic Identification And Strengthening Of Sti Capacities;;;;;;;;;;;;;;;;;;;;
Stakeholders Of The National Sti System;;;;;;;;;;Multi-Stakeholder Engagement;National Sti Plan Or Strategy;;;;;;;;;
Exchange And Mobility For Knowledge And Technology Management And Transfer;;;;;;;;;;;;;;;;;;;;
Colombian Network Of Scientific Information;;;;;;;;;;;;;;;;;;;;
Strengthening Of Clinical Applications Of Pet And Nuclear Medicine In Cancer Complying Regulations On Good Practices On Hospital Radiopharmacy;;;;;;;;;Intersectoral Mobility;;;;;;;;;;;
Harmonizing Criteria On Good Manufacturing Practices And Quality Control Of Radioisotopes And Radiopharmaceuticals;;;;;;;;;;;;;;;;;;;;Transfer And Sharing Strategies
Research Agreement Supporting The Latin American Hub For Cancer Registration;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;
"Strategy ""Everything Is Science""";;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;
Public Procurement For Innovation;;;;;;;;;;;;;;;;;Stimulating Demand For Innovation And Market Creation;;;
Regional Networks Of Entrepreneurship;;;;;;;;Horizontal Policy Coordination;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Health Research Fund;;;;;;;;;;;;;;;;;;;;
National Program For The Promotion And Protection Of Inventions;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Strategic Knowledge And Technology Transfer Program;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Program For The Creation And Strengthening Of Science Centers;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;
Institutional Links;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;
R&D Tax Incentives;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
National Council For R&D&I Tax Incentives;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
National Scientific Expeditions;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;
Innovation Alliances;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;Targeted Support To Smes;
Development And Validation Projects Of Functional High Tech Prototypes;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Calls For The National System Of Innovation Program In Ict;;;;Collaborative Research And Innovation;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Guidelines For A Technology Extension Program;;;;;Digital Transformation Of Firms;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Premio Innova;;;;;;;;;;;;;;;;;;;Targeted Support To Smes;
Knowledge Management Environmental And Social Issues Of Energy Mining;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Strategy Of Digital Transformation;;Business Innovation Policy Strategies;;;Digital Transformation Of Firms;;;;;;;;;;;;;;;
Newmedia;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;
Digital Skills And Digital Citizenship Programs For Ai;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Ict Sectors;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
C4ir Network;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Ai Task Force;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Building A Regulatory Ecosystem For Ai;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;
Ai Start-Up Hub;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Funding And Grants For Ai Research;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Ai Covid-19 Response;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Ai In The Public Sector;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Artificial Intelligence National Strategy;Artificial Intelligence (Ai);;;;;;;;;;;;;;;;;;;
Ethical Framework For Artificial Intelligence In Colombia;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;
Policy On Research Ethics, Bioethics And Scientific Integrity;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;
Tax Benefits;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
Programme For Production Innovation And Technological Development;;;;Collaborative Research And Innovation;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;
Apps.Co;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;Targeted Support To Smes;
Modernisation And Innovation Actions For Micro, Small And Medium Entreprises;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;
Ideas For Change Programme;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;
Open Innovation Programme;;;Cluster Policies;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Participation In Horizon 2020;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Global Nexus;;;;;;;;;;;;;;;;;;;;
Ondas Programme;;;;;;;;;;;;;;;;;;;;
Colombia Bio;;;;;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;
A Ciencia Cierta;;;;;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;
